Abbreviation	Selected Map	Total_EV	Shift	Shift tooltip	I_Nominee tooltip	blank	D-Check	D_Nominee_prop	Color Bins	Independent spacing	Direction	Spacer	R-Check	D_%	D_Difference%	D_Difference	D_EV	D_EV_Total	D_Nominee	R_Nominee_prop	D_Popular%	D_Votes	D_Votes_Total	Hex_Column	Hex_Row	I_%	I_EV	I_EV_Total	I_Nominee tooltip ●	I_Nominee tooltip ')'	I_Nominee tooltip '%)'	I_Nominee tooltip '('	I_Nominee	I_Popular%	I_Votes	I_Votes_Total	Independent spacing (popular)	Info	Last_RD_Difference	Last_Winner	Last_Winner_%	Number of Records	RD_Difference (bin)	RD_Difference	R_%	R_Difference%	R_Difference	R_EV	R_EV_Total	R_Nominee	I_Nominee_prop	R_Popular%	R_Votes	R_Votes_Total	Region	Row	Shift (l/r)	Shift abbreviation	Space	State (red)	State (blue)	State (yellow)	State	State_Winner	Total Votes	Total_Votes_USA	Winner_%	Winning Party	Year
KY	Hex	13	5	% shift to the left			✔	Woodrow Wilson	A		Left	0		51.9	51.9	269990	13	277	WOODROW WILSON	Charles E. Hughes	49.2%	269990	9126063	6.5	4													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-10	-5.4	46.5	46.5	241854		254	CHARLES E. HUGHES	 	46.1%	241854	8547030	South	4	-5.4	0.5	6		Kentucky		Kentucky	D	520078	18535445	-51.9	D	1916
LA	Hex	10	79	% shift to the left			✔	Woodrow Wilson	E		Left	0		85.9	85.9	79875	10	277	WOODROW WILSON	Charles E. Hughes	49.2%	79875	9126063	5.5	6													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-80	-78.9	7.0	7	6466		254	CHARLES E. HUGHES	 	46.1%	6466	8547030	South	6	-78.9	0.5	5		Louisiana		Louisiana	D	92974	18535445	-85.9	D	1916
MD	Hex	8	8	% shift to the left			✔	Woodrow Wilson	A		Left	0		52.8	52.8	138359	8	277	WOODROW WILSON	Charles E. Hughes	49.2%	138359	9126063	8.5	4													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-10	-8	44.8	44.8	117347		254	CHARLES E. HUGHES	 	46.1%	117347	8547030	South	4	-8.0	0.5	9		Maryland		Maryland	D	262039	18535445	-52.8	D	1916
MS	Hex	10	88	% shift to the left			✔	Woodrow Wilson	E		Left	0		92.8	92.8	80422	10	277	WOODROW WILSON	Charles E. Hughes	49.2%	80422	9126063	6.5	6													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-90	-87.9	4.9	4.9	4253		254	CHARLES E. HUGHES	 	46.1%	4253	8547030	South	6	-87.9	0.5	6		Mississippi		Mississippi	D	86679	18535445	-92.8	D	1916
NC	Hex	12	16	% shift to the left			✔	Woodrow Wilson	B		Left	0		58.1	58.1	168383	12	277	WOODROW WILSON	Charles E. Hughes	49.2%	168383	9126063	9	5													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-20	-16.4	41.7	41.7	120890		254	CHARLES E. HUGHES	 	46.1%	120890	8547030	South	5	-16.4	0.5	7		North Carolina		North Carolina	D	289837	18535445	-58.1	D	1916
OK	Hex	10	17	% shift to the left			✔	Woodrow Wilson	B		Left	0		50.7	50.7	148123	10	277	WOODROW WILSON	Charles E. Hughes	49.2%	148123	9126063	4.5	6													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-20	-17.4	33.3	33.3	97233		254	CHARLES E. HUGHES	 	46.1%	97233	8547030	South	6	-17.4	0.5	4		Oklahoma		Oklahoma	D	292327	18535445	-50.7	D	1916
SC	Hex	9	94	% shift to the left			✔	Woodrow Wilson	E		Left	0		96.7	96.7	61845	9	277	WOODROW WILSON	Charles E. Hughes	49.2%	61845	9126063	8.5	6													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-95	-94.3	2.4	2.4	1550		254	CHARLES E. HUGHES	 	46.1%	1550	8547030	South	5	-94.3	0.5	8		South Carolina		South Carolina	D	63950	18535445	-96.7	D	1916
TN	Hex	12	14	% shift to the left			✔	Woodrow Wilson	B		Left	0		56.3	56.3	153280	12	277	WOODROW WILSON	Charles E. Hughes	49.2%	153280	9126063	7	5													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-15	-13.6	42.7	42.7	116223		254	CHARLES E. HUGHES	 	46.1%	116223	8547030	South	5	-13.6	0.5	6		Tennessee		Tennessee	D	272190	18535445	-56.3	D	1916
TX	Hex	20	59	% shift to the left			✔	Woodrow Wilson	E		Left	0		76.9	76.9	286514	20	277	WOODROW WILSON	Charles E. Hughes	49.2%	286514	9126063	4	7													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-60	-59.4	17.5	17.5	64999		254	CHARLES E. HUGHES	 	46.1%	64999	8547030	South	7	-59.4	0.5	4		Texas		Texas	D	372467	18535445	-76.9	D	1916
VA	Hex	12	35	% shift to the left			✔	Woodrow Wilson	D		Left	0		66.8	66.8	102825	12	277	WOODROW WILSON	Charles E. Hughes	49.2%	102825	9126063	8	5													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-35	-34.7	32.1	32.1	49358		254	CHARLES E. HUGHES	 	46.1%	49358	8547030	South	4	-34.7	0.5	8		Virginia		Virginia	D	153993	18535445	-66.8	D	1916
AZ	Hex	3	22	% shift to the left			✔	Woodrow Wilson	C		Left	0		57.2	57.2	33170	3	277	WOODROW WILSON	Charles E. Hughes	49.2%	33170	9126063	3	5													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-25	-21.8	35.4	35.4	20522		254	CHARLES E. HUGHES	 	46.1%	20522	8547030	West	5	-21.8	0.5	2		Arizona		Arizona	D	58019	18535445	-57.2	D	1916
CA	Hex	13	0	% shift to the left			✔	Woodrow Wilson	A		Left	0		46.6	46.6	465936	13	277	WOODROW WILSON	Charles E. Hughes	49.2%	465936	9126063	2	5													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-5	-0.300000000	46.3	46.3	462516		254	CHARLES E. HUGHES	 	46.1%	462516	8547030	West	4	-0.3	0.5	1		California		California	D	999250	18535445	-46.6	D	1916
CO	Hex	6	26	% shift to the left			✔	Woodrow Wilson	C		Left	0		60.5	60.5	178816	6	277	WOODROW WILSON	Charles E. Hughes	49.2%	178816	9126063	3.5	4													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-30	-25.7	34.8	34.8	102308		254	CHARLES E. HUGHES	 	46.1%	102308	8547030	West	4	-25.7	0.5	3		Colorado		Colorado	D	294375	18535445	-60.5	D	1916
ID	Hex	4	11	% shift to the left			✔	Woodrow Wilson	B		Left	0		52.0	52	70054	4	277	WOODROW WILSON	Charles E. Hughes	49.2%	70054	9126063	2	3													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-15	-10.9	41.1	41.1	55368		254	CHARLES E. HUGHES	 	46.1%	55368	8547030	West	2	-10.9	0.5	2		Idaho		Idaho	D	134615	18535445	-52	D	1916
MT	Hex	4	19	% shift to the left			✔	Woodrow Wilson	B		Left	0		56.8	56.8	101104	4	277	WOODROW WILSON	Charles E. Hughes	49.2%	101104	9126063	2.5	2													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-20	-19.2	37.6	37.6	66933		254	CHARLES E. HUGHES	 	46.1%	66933	8547030	West	2	-19.2	0.5	3		Montana		Montana	D	178009	18535445	-56.8	D	1916
NM	Hex	3	4	% shift to the left			✔	Woodrow Wilson	A		Left	0		50.4	50.4	33693	3	277	WOODROW WILSON	Charles E. Hughes	49.2%	33693	9126063	3.5	6													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-5	-3.9	46.5	46.5	31097		254	CHARLES E. HUGHES	 	46.1%	31097	8547030	West	5	-3.9	0.5	3		New Mexico		New Mexico	D	66879	18535445	-50.4	D	1916
NV	Hex	3	17	% shift to the left			✔	Woodrow Wilson	B		Left	0		53.4	53.4	17776	3	277	WOODROW WILSON	Charles E. Hughes	49.2%	17776	9126063	2.5	4													"The United States presidential election of 1916 took place while Europe was embroiled in World War I. Public sentiment in the still neutral United States leaned towards the British and French (allied) forces, due to the harsh treatment of civilians by the German Army, which had invaded and occupied large parts of Belgium and northern France. However, despite their sympathy with the allied forces most American voters wanted to avoid involvement in the war, and preferred to continue a policy of neutrality. The campaign pitted incumbent President Woodrow Wilson, the Democratic candidate, against Supreme Court Justice Charles Evans Hughes, the Republican candidate. After a hard-fought contest, Wilson defeated Hughes by a narrow margin. Wilson was helped by his campaign slogan ""He kept us out of war""."	0		0	1	-20	-17	36.4	36.4	12127		254	CHARLES E. HUGHES	 	46.1%	12127	8547030	West	3	-17.0	0.5	2		Nevada		Nevada	D	33314	18535445	-53.4	D	1916
